Concept ID,Concept Name,Industry,Problem Area,Target User,Segment,Delivery Complexity (1-10),Strategic Fit (1-10),Feedback Score (1-10),Objections Count,Decision Maker Present,Follow-Up Requested,Trial Sessions,Feature Clicks,Repeat Usage Days,Active Users,Time Spent (min),Abandoned Features,Pilot Interest (1-10),Urgency Score (1-10),Budget Signal (1-10),Willingness To Pay (%),Expected Value ($),Implementation Risk (1-10),Engagement Score (%),Demand Intensity (%),Revenue Potential (%),Feasibility Score (%),Strategic Alignment (%),Repeatability Score (%),Confidence Indicator (%),Commercial Outcome
CPT-1095,Fraud Detection Assistant 95,Cybersecurity,Forecasting,Small Business Owner,Startup,3,9.0,8.8,0.0,0.0,1,36,306,27,49,270.1,2,9,9,8.0,63.00%,30372.0,3,89.00%,92.00%,46.00%,81.00%,53.00%,86.00%,90.00%,MVP Build
CPT-1096,Customer Support Assistant 96,Logistics,Workflow Automation,Product Manager,SMB,7,6.0,6.2,3.0,0.0,1,14,150,15,49,181.0,3,6,6,5.0,69.00%,65064.0,6,56.00%,69.00%,57.00%,28.00%,33.00%,66.00%,68.00%,Incubate
CPT-1097,Process Optimization Assistant 0,Manufacturing,Process Optimization,Frontline Agent,Enterprise,4,8.0,8.9,3.0,0.0,0,31,207,22,51,283.2,1,9,6,7.0,52.00%,42163.0,4,85.00%,52.00%,46.00%,67.00%,47.00%,79.00%,78.00%,Customer Pilot
CPT-1098,Personalization Assistant 1,EdTech,Personalization,Executive Sponsor,Mid-Market,5,7.0,5.6,0.0,0.0,1,37,400,30,41,140.75,2,10,8,7.0,56.00%,26226.0,4,65.00%,93.00%,40.00%,57.00%,40.00%,84.00%,90.00%,MVP Build
CPT-1099,Fraud Detection Assistant 2,Healthcare,Forecasting,Compliance Officer,SMB,4,4.0,2.0,5.0,0.0,0,9,55,0,3,52.7,4,1,4,2.0,23.00%,9735.0,9,10.00%,10.00%,11.00%,44.00%,20.00%,2.00%,52.00%,Archive
CPT-1100,Customer Support Assistant 3,HR Tech,Compliance Monitoring,Compliance Officer,Mid-Market,5,7.0,3.3,8.0,1.0,1,19,225,1,9,72.7,3,4,5,5.0,56.00%,15540.0,6,18.00%,57.00%,31.00%,48.00%,80.00%,8.00%,41.00%,Archive
CPT-1101,Knowledge Search Assistant 4,Consumer Apps,Compliance Monitoring,Executive Sponsor,Mid-Market,8,9.0,6.9,5.0,1.0,0,27,91,25,28,263.5,1,7,6,3.0,44.00%,7824.0,3,78.00%,43.00%,19.00%,31.00%,93.00%,65.00%,67.00%,Incubate
CPT-1102,Knowledge Search Assistant 5,Logistics,Process Optimization,Data Analyst,SMB,5,4.0,3.2,6.0,1.0,0,16,157,0,10,7.7,5,4,4,3.0,43.00%,25365.0,7,11.00%,23.00%,27.00%,43.00%,60.00%,8.00%,42.00%,Archive
CPT-1103,Document Intelligence Assistant 6,Cybersecurity,Process Optimization,IT Admin,SMB,6,5.0,8.0,1.0,1.0,0,35,387,26,36,139.3,3,8,7,7.0,62.00%,19267.0,5,71.00%,51.00%,38.00%,42.00%,67.00%,73.00%,79.00%,Incubate
CPT-1104,Process Optimization Assistant 7,FinTech,Process Optimization,Product Manager,Enterprise,6,2.0,3.9,1.0,1.0,0,8,33,12,14,125.7,2,5,7,6.0,43.00%,46101.0,9,37.00%,38.00%,43.00%,24.00%,47.00%,31.00%,84.00%,Archive
CPT-1105,Process Optimization Assistant 8,EdTech,Personalization,Executive Sponsor,Mid-Market,3,4.0,5.1,3.0,1.0,1,18,181,10,27,155.6,7,5,6,5.0,56.00%,20677.0,2,44.00%,64.00%,33.00%,86.00%,60.00%,39.00%,48.00%,Incubate
CPT-1106,Document Intelligence Assistant 9,Manufacturing,Process Optimization,Product Manager,SMB,2,5.0,3.9,5.0,1.0,0,5,18,10,26,135.2,5,4,7,6.0,42.00%,36046.0,3,36.00%,33.00%,38.00%,91.00%,67.00%,38.00%,47.00%,Archive
CPT-1107,Knowledge Search Assistant 10,Retail,Personalization,IT Admin,Mid-Market,7,7.0,3.6,1.0,0.0,0,21,165,5,12,110.4,7,2,5,5.0,48.00%,22250.0,4,28.00%,18.00%,31.00%,37.00%,40.00%,18.00%,59.00%,Archive
CPT-1108,Forecasting Assistant 11,Cybersecurity,Customer Support,Compliance Officer,SMB,4,6.0,7.1,3.0,1.0,1,9,72,26,18,144.0,1,8,7,6.0,56.00%,86477.0,6,68.00%,81.00%,65.00%,58.00%,73.00%,58.00%,78.00%,Customer Pilot
CPT-1109,Document Intelligence Assistant 12,FinTech,Workflow Automation,Frontline Agent,Mid-Market,4,6.0,7.6,1.0,1.0,0,28,280,15,35,294.1,3,6,4,7.0,73.00%,32874.0,6,74.00%,32.00%,48.00%,58.00%,73.00%,54.00%,79.00%,Incubate
CPT-1110,Process Optimization Assistant 13,Retail,Forecasting,IT Admin,SMB,6,6.0,9.9,0.0,1.0,1,34,314,28,57,204.3,0,10,6,9.0,83.00%,20947.0,3,88.00%,87.00%,50.00%,51.00%,73.00%,94.00%,100.00%,MVP Build
CPT-1111,Process Optimization Assistant 14,Consumer Apps,Workflow Automation,IT Admin,SMB,3,6.0,5.7,5.0,0.0,1,18,165,7,21,66.2,7,5,6,5.0,42.00%,11159.0,3,35.00%,64.00%,24.00%,81.00%,33.00%,29.00%,37.00%,Archive
CPT-1112,Compliance Monitoring Assistant 15,Logistics,Personalization,Product Manager,Startup,3,5.5,9.0,0.0,1.0,1,26,235,30,51,242.1,0,9,5,7.0,93.00%,27667.0,1,90.00%,79.00%,52.00%,90.00%,70.00%,92.00%,100.00%,MVP Build
CPT-1113,Personalization Assistant 16,HR Tech,Forecasting,Frontline Agent,Mid-Market,6,5.0,4.9,3.0,0.0,1,21,229,5,28,70.6,4,5,4,5.0,56.00%,28338.0,5,29.00%,58.00%,36.00%,42.00%,27.00%,31.00%,63.00%,Archive
CPT-1114,Process Optimization Assistant 17,Retail,Personalization,Product Manager,Startup,4,8.0,9.0,1.0,1.0,0,30,343,23,51,234.9,0,9,5,9.0,74.00%,14659.0,6,82.00%,49.00%,44.00%,58.00%,87.00%,81.00%,94.00%,Customer Pilot
CPT-1115,Fraud Detection Assistant 18,Manufacturing,Personalization,Frontline Agent,SMB,3,5.0,5.25,4.0,0.0,1,10,97,20,54,182.9,5,9,8,7.0,53.00%,18841.0,6,57.00%,89.00%,36.00%,68.00%,27.00%,78.00%,53.00%,Customer Pilot
CPT-1116,Knowledge Search Assistant 19,Retail,Personalization,Compliance Officer,SMB,4,8.0,8.3,0.0,0.0,1,18,70,25,48,241.2,0,9,8,7.0,40.00%,42932.0,5,82.00%,89.00%,43.00%,62.00%,47.00%,81.00%,100.00%,MVP Build
CPT-1117,Workflow Automation Assistant 20,EdTech,Predictive Analytics,IT Admin,SMB,7,4.0,2.7,2.0,0.0,1,26,106,7,1,141.8,5,3,6,5.0,28.00%,17810.0,6,29.00%,56.00%,23.00%,28.00%,20.00%,12.00%,64.00%,Archive
CPT-1118,Customer Support Assistant 21,Healthcare,Knowledge Search,IT Admin,Startup,3,5.0,6.8,2.0,1.0,0,9,86,14,17,162.2,5,6,6,8.0,54.00%,28050.0,6,56.00%,39.00%,42.00%,68.00%,67.00%,37.00%,64.00%,Incubate
CPT-1119,Personalization Assistant 22,Consumer Apps,Personalization,Ops Manager,Mid-Market,8,7.0,5.1,1.0,1.0,1,17,64,15,26,100.0,3,7,5,5.0,65.00%,22588.0,4,43.00%,70.00%,36.00%,27.00%,80.00%,46.00%,79.00%,Incubate
CPT-1120,Fraud Detection Assistant 23,EdTech,Workflow Automation,Data Analyst,Mid-Market,7,4.0,1.2,9.0,0.0,1,8,80,1,12,28.7,6,1,2,6.0,50.00%,31963.0,4,5.00%,33.00%,39.00%,37.00%,20.00%,11.00%,20.00%,Archive
CPT-1121,Compliance Monitoring Assistant 24,Healthcare,Personalization,Frontline Agent,SMB,4,8.0,6.7,3.0,0.0,0,26,139,12,45,202.7,3,6,3,7.0,43.00%,17357.0,8,58.00%,29.00%,32.00%,49.00%,47.00%,57.00%,68.00%,Reusable Asset
CPT-1122,Fraud Detection Assistant 25,EdTech,Process Optimization,Executive Sponsor,SMB,6,7.0,7.0,1.0,0.0,1,23,250,19,37,137.0,3,7,6,5.0,39.00%,19958.0,4,59.00%,73.00%,27.00%,47.00%,40.00%,62.00%,79.00%,Incubate
CPT-1123,Compliance Monitoring Assistant 26,FinTech,Forecasting,Compliance Officer,SMB,6,6.0,7.0,2.0,1.0,0,30,141,30,39,229.9,0,9,8,7.0,90.00%,45435.0,4,80.00%,59.00%,59.00%,47.00%,73.00%,82.00%,89.00%,Customer Pilot
CPT-1124,Document Intelligence Assistant 27,HR Tech,Customer Support,Executive Sponsor,SMB,7,5.0,4.8,2.0,0.0,0,22,148,3,10,151.0,3,6,4,5.0,55.00%,11704.0,4,35.00%,32.00%,29.00%,37.00%,27.00%,13.00%,74.00%,Archive
CPT-1125,Fraud Detection Assistant 28,Retail,Document Intelligence,Data Analyst,SMB,8,8.0,7.5,1.0,0.0,1,23,164,19,57,293.9,3,9,8,8.0,41.00%,25624.0,3,77.00%,89.00%,37.00%,31.00%,47.00%,79.00%,79.00%,Customer Pilot
CPT-1126,Compliance Monitoring Assistant 29,Legal Tech,Workflow Automation,Ops Manager,Mid-Market,2,8.0,5.05,4.0,0.0,0,19,75,4,23,116.4,7,5,7,5.0,33.00%,14434.0,4,34.00%,38.00%,23.00%,87.00%,47.00%,25.00%,43.00%,Archive
CPT-1127,Fraud Detection Assistant 30,Consumer Apps,Personalization,Small Business Owner,Startup,4,7.0,4.5,2.0,0.0,0,12,144,7,35,79.2,3,4,7,3.0,31.00%,14896.0,6,30.00%,33.00%,18.00%,58.00%,40.00%,40.00%,74.00%,Archive
CPT-1128,Predictive Analytics Assistant 31,HR Tech,Workflow Automation,Data Analyst,Mid-Market,8,8.0,5.5,0.0,1.0,1,20,185,9,26,199.9,4,5,6,5.0,28.00%,21127.0,7,49.00%,64.00%,25.00%,13.00%,87.00%,36.00%,80.00%,Incubate
CPT-1129,Forecasting Assistant 32,Retail,Workflow Automation,IT Admin,Startup,6,6.0,5.1,5.0,0.0,1,4,47,5,19,78.7,1,4,5,4.0,31.00%,16695.0,7,31.00%,57.00%,21.00%,33.00%,33.00%,24.00%,67.00%,Archive
CPT-1130,Process Optimization Assistant 33,Cybersecurity,Process Optimization,Executive Sponsor,Mid-Market,4,8.0,8.4,3.0,1.0,0,34,204,30,42,222.0,1,7,8,8.0,65.00%,24040.0,7,85.00%,50.00%,44.00%,53.00%,87.00%,85.00%,78.00%,MVP Build
CPT-1131,Customer Support Assistant 34,Legal Tech,Document Intelligence,Executive Sponsor,SMB,6,4.0,5.05,6.0,0.0,0,9,58,6,6,139.1,3,1,1,4.0,44.00%,17978.0,8,38.00%,0.00%,26.00%,29.00%,20.00%,14.00%,52.00%,Archive
CPT-1132,Knowledge Search Assistant 35,Legal Tech,Workflow Automation,Small Business Owner,SMB,3,5.0,5.0,5.0,0.0,0,17,187,14,17,47.2,5,4,6,4.0,81.00%,45529.0,6,36.00%,30.00%,49.00%,68.00%,27.00%,37.00%,47.00%,Archive
CPT-1133,Workflow Automation Assistant 36,Retail,Workflow Automation,IT Admin,Enterprise,8,4.0,5.1,3.0,0.0,1,12,69,9,32,170.0,4,6,3,7.0,57.00%,55866.0,2,44.00%,59.00%,53.00%,36.00%,20.00%,41.00%,63.00%,Archive
CPT-1134,Workflow Automation Assistant 37,HR Tech,Customer Support,IT Admin,Mid-Market,5,10.0,8.3,1.0,0.0,1,23,190,30,49,287.5,2,9,9,5.0,54.00%,23719.0,5,91.00%,92.00%,34.00%,52.00%,60.00%,91.00%,84.00%,MVP Build
CPT-1135,Knowledge Search Assistant 38,HR Tech,Workflow Automation,IT Admin,Mid-Market,5,7.0,7.5,2.0,0.0,1,30,302,17,38,275.8,2,9,5,5.0,67.00%,22577.0,6,73.00%,79.00%,37.00%,48.00%,40.00%,60.00%,79.00%,Customer Pilot
CPT-1136,Fraud Detection Assistant 39,Cybersecurity,Fraud Detection,IT Admin,SMB,5,8.0,5.4,1.0,1.0,1,35,313,24,49,270.0,1,9,8,7.0,56.00%,33565.0,6,71.00%,89.00%,43.00%,48.00%,87.00%,81.00%,89.00%,MVP Build
CPT-1137,Predictive Analytics Assistant 40,HR Tech,Personalization,Executive Sponsor,Enterprise,5,6.0,9.7,1.0,1.0,1,34,396,30,57,300.0,0,10,7,6.0,96.00%,46906.0,5,99.00%,90.00%,59.00%,52.00%,73.00%,97.00%,94.00%,MVP Build
CPT-1138,Forecasting Assistant 41,Logistics,Customer Support,Small Business Owner,Startup,6,7.0,3.6,4.0,0.0,1,13,128,0,2,145.2,4,4,4,5.0,31.00%,28827.0,4,26.00%,53.00%,29.00%,47.00%,40.00%,1.00%,58.00%,Archive
CPT-1139,Document Intelligence Assistant 42,Retail,Knowledge Search,Frontline Agent,Startup,5,7.0,9.5,0.0,1.0,1,40,142,21,59,151.9,0,10,10,7.0,77.00%,23788.0,1,74.00%,100.00%,45.00%,70.00%,80.00%,84.00%,100.00%,MVP Build
CPT-1140,Customer Support Assistant 43,EdTech,Workflow Automation,IT Admin,Enterprise,4,6.0,6.1,2.0,0.0,0,15,114,21,41,234.2,2,6,7,5.0,40.00%,16234.0,4,67.00%,42.00%,26.00%,67.00%,33.00%,69.00%,79.00%,Incubate
CPT-1141,Knowledge Search Assistant 44,Logistics,Knowledge Search,Executive Sponsor,SMB,4,6.0,9.7,0.0,0.0,1,32,330,15,60,300.0,0,10,7,7.0,72.00%,49465.0,3,84.00%,90.00%,55.00%,71.00%,33.00%,75.00%,100.00%,MVP Build
CPT-1142,Knowledge Search Assistant 45,Retail,Process Optimization,Small Business Owner,SMB,6,7.0,7.5,1.0,0.0,1,23,400,26,46,203.8,3,7,7,5.0,61.00%,18475.0,4,75.00%,77.00%,33.00%,47.00%,40.00%,81.00%,79.00%,Customer Pilot
CPT-1143,Workflow Automation Assistant 46,Consumer Apps,Forecasting,Executive Sponsor,SMB,8,4.0,3.4,2.0,0.0,0,3,27,3,17,1.2,4,4,3,4.0,22.00%,9879.0,4,14.00%,20.00%,16.00%,27.00%,20.00%,19.00%,69.00%,Archive
CPT-1144,Customer Support Assistant 47,Retail,Personalization,Frontline Agent,Mid-Market,7,7.0,7.2,2.0,0.0,0,21,215,28,35,182.6,1,9,7,7.0,55.00%,54219.0,5,74.00%,56.00%,52.00%,32.00%,40.00%,75.00%,84.00%,Incubate
CPT-1145,Customer Support Assistant 48,Logistics,Workflow Automation,Product Manager,Mid-Market,8,7.0,9.3,0.0,0.0,1,8,43,23,60,245.3,2,9,6,6.0,25.00%,18508.0,4,84.00%,82.00%,25.00%,27.00%,40.00%,88.00%,90.00%,Customer Pilot
CPT-1146,Customer Support Assistant 49,Manufacturing,Customer Support,Small Business Owner,Enterprise,7,4.0,2.1,9.0,1.0,0,0,0,2,8,0.0,6,2,5,4.0,37.00%,14671.0,7,7.00%,18.00%,22.00%,23.00%,60.00%,9.00%,20.00%,Archive
CPT-1147,Workflow Automation Assistant 50,Manufacturing,Process Optimization,Compliance Officer,SMB,3,8.0,6.5,5.0,1.0,1,29,144,20,56,197.0,1,8,6,7.0,52.00%,23658.0,10,64.00%,78.00%,38.00%,50.00%,87.00%,80.00%,67.00%,Customer Pilot
CPT-1148,Document Intelligence Assistant 51,Consumer Apps,Process Optimization,Ops Manager,SMB,3,7.0,6.1,0.0,0.0,0,20,147,17,51,217.4,3,6,6,7.0,97.00%,29190.0,6,61.00%,39.00%,53.00%,68.00%,40.00%,71.00%,85.00%,Customer Pilot
CPT-1149,Forecasting Assistant 52,Logistics,Process Optimization,IT Admin,Mid-Market,2,7.0,7.8,2.0,0.0,1,12,117,24,54,300.0,2,9,9,5.0,35.00%,54282.0,6,84.00%,92.00%,42.00%,78.00%,40.00%,85.00%,79.00%,MVP Build
CPT-1150,Process Optimization Assistant 53,Cybersecurity,Workflow Automation,Product Manager,Mid-Market,4,7.0,8.0,0.0,1.0,1,22,161,23,55,187.8,3,8,9,8.0,31.00%,36752.0,4,73.00%,88.00%,39.00%,67.00%,80.00%,84.00%,85.00%,MVP Build
CPT-1151,Document Intelligence Assistant 54,FinTech,Fraud Detection,Ops Manager,Startup,5,5.0,3.2,7.0,0.0,1,13,50,14,26,176.7,2,4,3,6.0,18.00%,16081.0,4,41.00%,50.00%,22.00%,57.00%,27.00%,45.00%,51.00%,Archive
CPT-1152,Personalization Assistant 55,Cybersecurity,Document Intelligence,Ops Manager,Mid-Market,5,7.0,4.2,4.0,0.0,0,26,309,19,27,123.7,6,4,4,6.0,43.00%,13369.0,9,46.00%,23.00%,28.00%,34.00%,40.00%,54.00%,48.00%,Archive
CPT-1153,Compliance Monitoring Assistant 56,Logistics,Forecasting,Product Manager,Startup,6,6.0,6.7,0.0,0.0,1,16,159,16,31,187.9,1,7,8,4.0,54.00%,86111.0,4,60.00%,80.00%,59.00%,47.00%,33.00%,52.00%,95.00%,Customer Pilot
CPT-1154,Customer Support Assistant 57,Retail,Compliance Monitoring,Frontline Agent,Enterprise,5,7.0,7.5,0.0,0.0,0,11,82,11,33,214.6,2,6,5,4.0,57.00%,5447.0,5,61.00%,36.00%,24.00%,52.00%,40.00%,45.00%,90.00%,Incubate
CPT-1155,Knowledge Search Assistant 58,Retail,Compliance Monitoring,IT Admin,Enterprise,4,7.0,8.4,0.0,1.0,1,26,132,24,49,160.3,2,8,6,8.0,64.00%,52499.0,5,73.00%,78.00%,56.00%,62.00%,80.00%,81.00%,90.00%,MVP Build
CPT-1156,Document Intelligence Assistant 59,FinTech,Customer Support,Compliance Officer,Enterprise,6,7.0,5.1,1.0,1.0,0,17,55,11,23,61.8,7,5,5,5.0,17.00%,15956.0,5,35.00%,31.00%,19.00%,42.00%,80.00%,37.00%,59.00%,Archive
CPT-1157,Forecasting Assistant 60,Legal Tech,Customer Support,Compliance Officer,SMB,6,4.0,3.4,4.0,1.0,0,20,207,6,12,79.5,5,4,6,5.0,11.00%,14160.0,5,25.00%,30.00%,16.00%,42.00%,60.00%,19.00%,53.00%,Archive
CPT-1158,Predictive Analytics Assistant 61,Healthcare,Knowledge Search,Ops Manager,Enterprise,4,3.0,4.3,5.0,1.0,1,17,54,15,25,119.9,5,4,4,6.0,19.00%,13367.0,5,42.00%,53.00%,21.00%,62.00%,53.00%,45.00%,47.00%,Archive
CPT-1159,Customer Support Assistant 62,HR Tech,Document Intelligence,Compliance Officer,Enterprise,4,8.0,6.3,3.0,1.0,0,17,137,6,29,229.5,5,6,5,7.0,99.00%,36907.0,3,53.00%,36.00%,58.00%,71.00%,87.00%,34.00%,58.00%,Incubate
CPT-1160,Customer Support Assistant 63,Legal Tech,Document Intelligence,Small Business Owner,Enterprise,6,7.0,5.6,2.0,1.0,1,15,50,15,39,248.4,4,6,6,5.0,82.00%,25076.0,8,60.00%,69.00%,43.00%,29.00%,80.00%,57.00%,69.00%,Incubate
CPT-1161,Document Intelligence Assistant 64,FinTech,Fraud Detection,IT Admin,Enterprise,5,8.0,6.8,3.0,1.0,0,19,83,14,42,169.6,3,5,6,8.0,82.00%,17004.0,5,57.00%,34.00%,46.00%,52.00%,87.00%,58.00%,68.00%,Incubate
CPT-1162,Forecasting Assistant 65,HR Tech,Personalization,IT Admin,Mid-Market,7,4.0,5.2,4.0,0.0,0,18,147,15,40,261.6,2,5,6,6.0,60.00%,12508.0,2,60.00%,34.00%,33.00%,46.00%,20.00%,58.00%,68.00%,Archive
CPT-1163,Knowledge Search Assistant 66,Manufacturing,Knowledge Search,Product Manager,SMB,6,5.0,2.9,5.0,0.0,1,1,5,0,27,119.0,5,4,5,4.0,58.00%,32685.0,10,20.00%,57.00%,37.00%,20.00%,27.00%,22.00%,47.00%,Archive
CPT-1164,Workflow Automation Assistant 67,FinTech,Customer Support,Executive Sponsor,Enterprise,4,10.0,9.0,3.0,1.0,0,35,174,22,56,292.5,0,8,8,8.0,79.00%,40364.0,8,87.00%,54.00%,55.00%,49.00%,100.00%,83.00%,83.00%,MVP Build
CPT-1165,Process Optimization Assistant 68,Retail,Workflow Automation,Data Analyst,Mid-Market,6,6.0,9.7,1.0,0.0,1,36,400,30,37,231.2,0,9,7,6.0,46.00%,18496.0,5,92.00%,86.00%,31.00%,42.00%,33.00%,81.00%,94.00%,Customer Pilot
CPT-1166,Document Intelligence Assistant 69,Cybersecurity,Forecasting,Compliance Officer,Mid-Market,4,5.0,4.0,2.0,0.0,0,8,65,8,30,150.0,5,4,5,6.0,47.00%,29958.0,5,36.00%,27.00%,37.00%,62.00%,27.00%,38.00%,64.00%,Archive
CPT-1167,Knowledge Search Assistant 70,Manufacturing,Customer Support,Small Business Owner,Mid-Market,3,7.0,8.9,0.0,1.0,1,39,234,12,37,240.9,4,8,7,7.0,32.00%,48040.0,5,71.00%,81.00%,42.00%,72.00%,80.00%,51.00%,80.00%,Incubate
CPT-1168,Document Intelligence Assistant 71,Retail,Document Intelligence,Executive Sponsor,Enterprise,5,6.0,6.1,5.0,0.0,1,24,263,12,36,147.7,8,8,7,6.0,37.00%,15352.0,2,49.00%,81.00%,27.00%,66.00%,33.00%,50.00%,32.00%,Incubate
CPT-1169,Customer Support Assistant 72,Logistics,Predictive Analytics,IT Admin,Startup,8,8.0,5.4,2.0,1.0,0,16,75,14,46,228.4,3,6,5,7.0,54.00%,27387.0,6,56.00%,36.00%,40.00%,18.00%,87.00%,61.00%,74.00%,Reusable Asset
CPT-1170,Customer Support Assistant 73,Retail,Forecasting,Data Analyst,Enterprise,4,3.0,4.0,1.0,0.0,0,14,85,17,17,190.3,4,5,7,6.0,49.00%,36775.0,5,49.00%,38.00%,40.00%,62.00%,13.00%,42.00%,74.00%,Archive
CPT-1171,Document Intelligence Assistant 74,EdTech,Document Intelligence,Frontline Agent,Enterprise,7,8.0,10.0,0.0,0.0,1,38,400,29,37,140.75,0,10,6,4.0,62.00%,24621.0,3,83.00%,87.00%,34.00%,41.00%,47.00%,79.00%,100.00%,MVP Build
CPT-1172,Document Intelligence Assistant 75,Healthcare,Process Optimization,Product Manager,SMB,5,5.0,6.3,2.0,0.0,1,19,116,19,43,139.0,5,6,4,9.0,100.00%,75081.0,7,56.00%,62.00%,79.00%,43.00%,27.00%,67.00%,64.00%,Customer Pilot
CPT-1173,Process Optimization Assistant 76,Manufacturing,Process Optimization,Frontline Agent,Mid-Market,2,8.0,7.9,3.0,0.0,1,18,214,30,58,257.0,1,8,9,4.0,75.00%,14291.0,5,86.00%,88.00%,33.00%,82.00%,47.00%,98.00%,78.00%,MVP Build
CPT-1174,Customer Support Assistant 77,EdTech,Workflow Automation,Product Manager,Mid-Market,6,8.0,9.5,0.0,0.0,1,37,321,30,40,278.5,0,10,6,8.0,39.00%,42064.0,1,96.00%,87.00%,44.00%,60.00%,47.00%,83.00%,100.00%,MVP Build
CPT-1175,Fraud Detection Assistant 78,Consumer Apps,Process Optimization,Data Analyst,Enterprise,6,5.0,3.8,4.0,0.0,1,9,59,10,10,150.1,8,3,4,3.0,17.00%,5375.0,6,37.00%,49.00%,10.00%,38.00%,27.00%,24.00%,38.00%,Archive
CPT-1176,Process Optimization Assistant 79,Legal Tech,Personalization,Data Analyst,SMB,7,2.0,2.1,4.0,0.0,0,3,13,0,1,40.0,10,2,4,5.0,50.00%,20483.0,7,9.00%,14.00%,31.00%,23.00%,7.00%,0.00%,28.00%,Archive
CPT-1177,Predictive Analytics Assistant 80,Manufacturing,Document Intelligence,Executive Sponsor,SMB,7,4.0,5.1,6.0,1.0,1,15,45,8,24,150.5,4,6,6,6.0,61.00%,30532.0,7,41.00%,69.00%,41.00%,23.00%,60.00%,33.00%,47.00%,Archive
CPT-1178,Knowledge Search Assistant 81,Healthcare,Knowledge Search,Ops Manager,Startup,5,5.0,4.9,3.0,0.0,1,14,139,16,33,167.5,2,5,3,6.0,79.00%,33156.0,9,50.00%,54.00%,48.00%,34.00%,27.00%,54.00%,73.00%,Incubate
CPT-1179,Process Optimization Assistant 82,EdTech,Fraud Detection,Ops Manager,Enterprise,6,6.0,4.9,3.0,0.0,0,11,111,4,28,120.1,7,5,7,5.0,47.00%,15517.0,7,33.00%,38.00%,28.00%,33.00%,33.00%,30.00%,48.00%,Archive
CPT-1180,Customer Support Assistant 83,Legal Tech,Predictive Analytics,Product Manager,Enterprise,6,7.0,4.9,2.0,0.0,0,12,103,6,35,121.0,3,6,5,6.0,54.00%,41602.0,4,35.00%,36.00%,44.00%,47.00%,40.00%,39.00%,74.00%,Archive
CPT-1181,Fraud Detection Assistant 84,HR Tech,Predictive Analytics,Executive Sponsor,Enterprise,5,6.0,6.0,5.0,0.0,0,10,82,13,28,207.1,1,7,4,5.0,41.00%,19388.0,7,56.00%,37.00%,28.00%,43.00%,33.00%,45.00%,67.00%,Archive
CPT-1182,Personalization Assistant 85,Legal Tech,Forecasting,Small Business Owner,SMB,5,5.0,4.2,3.0,0.0,0,10,110,0,25,134.2,6,4,6,3.0,52.00%,13619.0,6,28.00%,30.00%,24.00%,48.00%,27.00%,20.00%,53.00%,Archive
CPT-1183,Document Intelligence Assistant 86,Logistics,Process Optimization,Data Analyst,SMB,6,3.0,3.2,8.0,0.0,0,11,95,18,10,66.4,5,3,5,4.0,30.00%,29750.0,5,34.00%,22.00%,27.00%,42.00%,13.00%,38.00%,31.00%,Archive
CPT-1184,Workflow Automation Assistant 87,Healthcare,Personalization,Product Manager,Mid-Market,6,5.0,8.1,4.0,0.0,0,13,46,29,44,174.4,1,9,7,5.0,43.00%,16008.0,7,78.00%,56.00%,27.00%,33.00%,27.00%,85.00%,73.00%,Incubate
CPT-1185,Customer Support Assistant 88,EdTech,Compliance Monitoring,Product Manager,Mid-Market,8,6.0,5.5,2.0,1.0,0,16,81,17,20,140.75,3,5,7,6.0,68.00%,25950.0,6,51.00%,38.00%,41.00%,18.00%,73.00%,44.00%,74.00%,Incubate
CPT-1186,Compliance Monitoring Assistant 89,Manufacturing,Knowledge Search,Compliance Officer,Mid-Market,2,6.0,9.7,0.0,0.0,1,22,99,29,43,300.0,2,10,8,8.0,42.00%,21033.0,3,98.00%,93.00%,35.00%,91.00%,33.00%,84.00%,90.00%,MVP Build
CPT-1187,Process Optimization Assistant 90,Cybersecurity,Customer Support,Ops Manager,SMB,5,7.0,6.1,5.0,1.0,1,12,133,26,29,72.2,6,7,5,9.0,56.00%,103721.0,5,56.00%,70.00%,79.00%,52.00%,80.00%,67.00%,42.00%,Customer Pilot
CPT-1188,Workflow Automation Assistant 91,EdTech,Knowledge Search,Compliance Officer,Mid-Market,6,5.0,4.6,5.0,0.0,0,11,115,8,34,126.0,5,4,5,4.0,36.00%,13473.0,6,37.00%,27.00%,21.00%,38.00%,27.00%,41.00%,47.00%,Archive
CPT-1189,Process Optimization Assistant 92,FinTech,Personalization,Executive Sponsor,Enterprise,2,6.0,6.6,3.0,0.0,1,22,248,20,35,250.4,2,9,8,5.0,48.00%,29385.0,5,70.00%,89.00%,34.00%,82.00%,33.00%,62.00%,73.00%,Customer Pilot
CPT-1190,Fraud Detection Assistant 93,Manufacturing,Forecasting,Compliance Officer,Mid-Market,4,5.0,4.4,5.0,0.0,1,13,152,2,29,89.2,5,6,6,5.0,52.00%,55151.0,6,26.00%,69.00%,47.00%,58.00%,27.00%,27.00%,47.00%,Archive
CPT-1191,Predictive Analytics Assistant 94,HR Tech,Customer Support,Ops Manager,Startup,7,5.0,4.5,4.0,0.0,0,7,59,7,18,98.4,2,5,7,6.0,78.00%,18676.0,7,32.00%,38.00%,41.00%,23.00%,27.00%,26.00%,68.00%,Archive
