Rank,Concept ID,Concept Name,Industry,Problem Area,Target User,Commercialization Readiness Score,Confidence Score (%),Recommended Outcome,Investment Priority,AI Investment Advice,AI Reason,AI Strengths,AI Weaknesses,Business Risk,Evidence,AI Expected Potential,AI Next Action
117,CPT-1167,Knowledge Search Assistant 70,Manufacturing,Customer Support,Small Business Owner,61.03,71.40%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.71, demand intensity of 0.81, and feasibility score of 0.72 combine to support a 'Incubate' recommendation with 71% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Concept is well aligned with strategic priorities. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 8.9/10, Pilot Interest 8/10, Implementation Risk 5/10, Objections 0",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
118,CPT-1432,Workflow Automation Assistant 44,HR Tech,Forecasting,Frontline Agent,60.95,55.40%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.63, demand intensity of 0.73, and feasibility score of 0.91 combine to support a 'Customer Pilot' recommendation with 55% model confidence.",• Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong.,• No major weakness signals were observed in this evidence set.,Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 6.7/10, Pilot Interest 7/10, Implementation Risk 3/10, Objections 1",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
119,CPT-1255,Compliance Monitoring Assistant 61,Retail,Forecasting,Data Analyst,60.9,73.00%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.70, demand intensity of 0.83, and feasibility score of 0.53 combine to support a 'Customer Pilot' recommendation with 73% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 7.1/10, Pilot Interest 7/10, Implementation Risk 7/10, Objections 3",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
120,CPT-1041,Fraud Detection Assistant 41,Retail,Personalization,Frontline Agent,60.78,64.10%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.78, demand intensity of 0.62, and feasibility score of 0.52 combine to support a 'Customer Pilot' recommendation with 64% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 8.7/10, Pilot Interest 9/10, Implementation Risk 5/10, Objections 0",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
121,CPT-1015,Fraud Detection Assistant 15,EdTech,Process Optimization,Compliance Officer,60.65,60.30%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.68, demand intensity of 0.67, and feasibility score of 0.71 combine to support a 'Customer Pilot' recommendation with 60% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • A decision-maker was present during the demo, reducing sales-cycle risk.",• No major weakness signals were observed in this evidence set.,Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 7.5/10, Pilot Interest 7/10, Implementation Risk 3/10, Objections 0",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
122,CPT-1444,Predictive Analytics Assistant 56,Manufacturing,Process Optimization,Compliance Officer,60.36,71.20%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.65, demand intensity of 0.68, and feasibility score of 0.91 combine to support a 'Incubate' recommendation with 71% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 6.1/10, Pilot Interest 5/10, Implementation Risk 3/10, Objections 2",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
123,CPT-1347,Workflow Automation Assistant 56,Retail,Workflow Automation,Product Manager,60.2,89.80%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.77, demand intensity of 0.60, and feasibility score of 0.43 combine to support a 'Customer Pilot' recommendation with 90% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Concept is well aligned with strategic priorities.,• Implementation risk is high — delivery effort may outweigh near-term value.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 7.3/10, Pilot Interest 10/10, Implementation Risk 7/10, Objections 0",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
124,CPT-1313,Predictive Analytics Assistant 22,Logistics,Document Intelligence,Product Manager,59.84,69.20%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.63, demand intensity of 0.77, and feasibility score of 0.19 combine to support a 'Customer Pilot' recommendation with 69% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • A decision-maker was present during the demo, reducing sales-cycle risk.",• Implementation risk is high — delivery effort may outweigh near-term value.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 7.6/10, Pilot Interest 7/10, Implementation Risk 8/10, Objections 1",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
125,CPT-1375,Forecasting Assistant 84,FinTech,Document Intelligence,Data Analyst,59.72,76.90%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.60, demand intensity of 0.46, and feasibility score of 0.72 combine to support a 'Customer Pilot' recommendation with 77% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 6.4/10, Pilot Interest 6/10, Implementation Risk 5/10, Objections 4",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
126,CPT-1417,Process Optimization Assistant 29,HR Tech,Process Optimization,Executive Sponsor,59.58,64.80%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.70, demand intensity of 0.54, and feasibility score of 0.42 combine to support a 'Customer Pilot' recommendation with 65% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.",• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 7.3/10, Pilot Interest 8/10, Implementation Risk 5/10, Objections 0",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
127,CPT-1323,Knowledge Search Assistant 32,Healthcare,Fraud Detection,Executive Sponsor,59.58,63.60%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.73, demand intensity of 0.88, and feasibility score of 0.39 combine to support a 'Customer Pilot' recommendation with 64% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Concept is well aligned with strategic priorities.,• Implementation risk is high — delivery effort may outweigh near-term value.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 7.8/10, Pilot Interest 8/10, Implementation Risk 8/10, Objections 2",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
128,CPT-1222,Compliance Monitoring Assistant 28,Legal Tech,Predictive Analytics,Product Manager,59.46,48.80%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.81, demand intensity of 0.48, and feasibility score of 0.41 combine to support a 'Incubate' recommendation with 49% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong. • A decision-maker was present during the demo, reducing sales-cycle risk.",• No major weakness signals were observed in this evidence set.,Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 8.9/10, Pilot Interest 8/10, Implementation Risk 3/10, Objections 1",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
129,CPT-1144,Customer Support Assistant 47,Retail,Personalization,Frontline Agent,59.23,85.60%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.74, demand intensity of 0.56, and feasibility score of 0.32 combine to support a 'Customer Pilot' recommendation with 86% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Concept is well aligned with strategic priorities.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 7.2/10, Pilot Interest 9/10, Implementation Risk 5/10, Objections 2",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
130,CPT-1302,Compliance Monitoring Assistant 11,Manufacturing,Document Intelligence,Small Business Owner,58.95,53.50%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.80, demand intensity of 0.77, and feasibility score of 0.13 combine to support a 'Customer Pilot' recommendation with 54% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Concept is well aligned with strategic priorities. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 7.3/10, Pilot Interest 7/10, Implementation Risk 7/10, Objections 3",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
131,CPT-1148,Document Intelligence Assistant 51,Consumer Apps,Process Optimization,Ops Manager,58.91,78.70%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.61, demand intensity of 0.39, and feasibility score of 0.68 combine to support a 'Customer Pilot' recommendation with 79% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 6.1/10, Pilot Interest 6/10, Implementation Risk 6/10, Objections 0",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
132,CPT-1300,Document Intelligence Assistant 9,Retail,Personalization,Product Manager,58.78,69.60%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.73, demand intensity of 0.56, and feasibility score of 0.61 combine to support a 'Customer Pilot' recommendation with 70% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities.,• No major weakness signals were observed in this evidence set.,Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 7.5/10, Pilot Interest 9/10, Implementation Risk 3/10, Objections 0",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
133,CPT-1218,Compliance Monitoring Assistant 24,Logistics,Document Intelligence,IT Admin,58.64,78.70%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.58, demand intensity of 0.79, and feasibility score of 0.42 combine to support a 'Customer Pilot' recommendation with 79% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once. • Concept is well aligned with strategic priorities.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 5.4/10, Pilot Interest 6/10, Implementation Risk 5/10, Objections 3",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
134,CPT-1332,Personalization Assistant 41,Manufacturing,Forecasting,Data Analyst,58.63,54.60%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.67, demand intensity of 0.73, and feasibility score of 0.38 combine to support a 'Incubate' recommendation with 55% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.",• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 8.2/10, Pilot Interest 7/10, Implementation Risk 6/10, Objections 1",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
135,CPT-1083,Customer Support Assistant 83,HR Tech,Predictive Analytics,Compliance Officer,58.52,86.50%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.67, demand intensity of 0.86, and feasibility score of 0.37 combine to support a 'Customer Pilot' recommendation with 86% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Concept is well aligned with strategic priorities.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 7.7/10, Pilot Interest 9/10, Implementation Risk 4/10, Objections 1",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
136,CPT-1410,Personalization Assistant 22,FinTech,Personalization,Product Manager,58.51,52.80%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.56, demand intensity of 0.67, and feasibility score of 0.52 combine to support a 'Customer Pilot' recommendation with 53% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • A decision-maker was present during the demo, reducing sales-cycle risk.",• Customers raised a high number of objections during demos.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 7.1/10, Pilot Interest 7/10, Implementation Risk 5/10, Objections 6",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
137,CPT-1210,Workflow Automation Assistant 16,Legal Tech,Customer Support,Small Business Owner,58.29,78.20%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.68, demand intensity of 0.56, and feasibility score of 0.29 combine to support a 'Customer Pilot' recommendation with 78% model confidence.",• Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong.,• Implementation risk is high — delivery effort may outweigh near-term value.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.0/10, Pilot Interest 9/10, Implementation Risk 8/10, Objections 1",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
138,CPT-1243,Document Intelligence Assistant 49,Cybersecurity,Knowledge Search,Data Analyst,58.26,57.80%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.52, demand intensity of 0.67, and feasibility score of 0.81 combine to support a 'Incubate' recommendation with 58% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 7.2/10, Pilot Interest 7/10, Implementation Risk 3/10, Objections 1",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
139,CPT-1250,Personalization Assistant 56,Healthcare,Customer Support,IT Admin,58.09,50.30%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.60, demand intensity of 0.74, and feasibility score of 0.32 combine to support a 'Customer Pilot' recommendation with 50% model confidence.","• Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.",• Feedback score trails the portfolio average.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 4.8/10, Pilot Interest 8/10, Implementation Risk 5/10, Objections 3",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
140,CPT-1312,Predictive Analytics Assistant 21,Logistics,Compliance Monitoring,Executive Sponsor,58.08,68.20%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.64, demand intensity of 0.77, and feasibility score of 0.33 combine to support a 'Customer Pilot' recommendation with 68% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong.,"• Customers raised a high number of objections during demos. • Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 7.2/10, Pilot Interest 7/10, Implementation Risk 7/10, Objections 5",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
141,CPT-1438,Customer Support Assistant 50,Healthcare,Knowledge Search,Ops Manager,58.05,60.60%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.49, demand intensity of 0.63, and feasibility score of 0.62 combine to support a 'Customer Pilot' recommendation with 61% model confidence.","• Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • A decision-maker was present during the demo, reducing sales-cycle risk.",• Customers do not treat this as an urgent problem to solve.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 6.5/10, Pilot Interest 7/10, Implementation Risk 5/10, Objections 2",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
142,CPT-1009,Fraud Detection Assistant 9,Healthcare,Workflow Automation,Frontline Agent,57.57,52.40%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.75, demand intensity of 0.52, and feasibility score of 0.47 combine to support a 'Incubate' recommendation with 52% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 9.0/10, Pilot Interest 9/10, Implementation Risk 4/10, Objections 0",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
143,CPT-1160,Customer Support Assistant 63,Legal Tech,Document Intelligence,Small Business Owner,57.41,59.00%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.60, demand intensity of 0.69, and feasibility score of 0.29 combine to support a 'Customer Pilot' recommendation with 59% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.6/10, Pilot Interest 6/10, Implementation Risk 8/10, Objections 2",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
144,CPT-1285,Predictive Analytics Assistant 91,Consumer Apps,Customer Support,Ops Manager,57.24,48.40%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.66, demand intensity of 0.70, and feasibility score of 0.27 combine to support a 'Customer Pilot' recommendation with 48% model confidence.","• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities. • A decision-maker was present during the demo, reducing sales-cycle risk.",• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 7.4/10, Pilot Interest 7/10, Implementation Risk 4/10, Objections 4",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
145,CPT-1310,Forecasting Assistant 19,Legal Tech,Compliance Monitoring,Executive Sponsor,57.07,71.80%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.71, demand intensity of 0.47, and feasibility score of 0.48 combine to support a 'Customer Pilot' recommendation with 72% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 7.2/10, Pilot Interest 7/10, Implementation Risk 6/10, Objections 2",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
146,CPT-1456,Predictive Analytics Assistant 68,Logistics,Knowledge Search,IT Admin,56.97,54.50%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.76, demand intensity of 0.57, and feasibility score of 0.62 combine to support a 'Incubate' recommendation with 54% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 8.4/10, Pilot Interest 10/10, Implementation Risk 5/10, Objections 0",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
147,CPT-1307,Customer Support Assistant 16,Legal Tech,Process Optimization,Product Manager,56.47,56.80%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.67, demand intensity of 0.69, and feasibility score of 0.14 combine to support a 'Customer Pilot' recommendation with 57% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong. • A decision-maker was present during the demo, reducing sales-cycle risk.",• Implementation risk is high — delivery effort may outweigh near-term value.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 6.3/10, Pilot Interest 6/10, Implementation Risk 9/10, Objections 3",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
148,CPT-1153,Compliance Monitoring Assistant 56,Logistics,Forecasting,Product Manager,56.43,57.10%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.60, demand intensity of 0.80, and feasibility score of 0.47 combine to support a 'Incubate' recommendation with 57% model confidence.",• Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 6.7/10, Pilot Interest 7/10, Implementation Risk 4/10, Objections 0",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
149,CPT-1096,Customer Support Assistant 96,Logistics,Workflow Automation,Product Manager,55.62,67.40%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.56, demand intensity of 0.69, and feasibility score of 0.28 combine to support a 'Customer Pilot' recommendation with 67% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once. • Willingness-to-pay signal is strong.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 6.2/10, Pilot Interest 6/10, Implementation Risk 6/10, Objections 3",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
150,CPT-1159,Customer Support Assistant 62,HR Tech,Document Intelligence,Compliance Officer,55.35,56.60%,Incubate,Watch List,Hold in the innovation backlog — run 2-3 more discovery demos before committing budget.,"Engagement score of 0.53, demand intensity of 0.36, and feasibility score of 0.71 combine to support a 'Incubate' recommendation with 57% model confidence.","• Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong. • Concept is well aligned with strategic priorities. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 6.3/10, Pilot Interest 6/10, Implementation Risk 3/10, Objections 3",Uncertain — promising but currently under-evidenced.,Schedule follow-up demos targeting decision-makers to sharpen the value proposition.
151,CPT-1281,Predictive Analytics Assistant 87,Legal Tech,Compliance Monitoring,Ops Manager,55.29,50.70%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.44, demand intensity of 0.70, and feasibility score of 0.61 combine to support a 'Customer Pilot' recommendation with 51% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Implementation risk is low relative to the portfolio. • Willingness-to-pay signal is strong.,• No major weakness signals were observed in this evidence set.,Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 7.4/10, Pilot Interest 7/10, Implementation Risk 3/10, Objections 2",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
152,CPT-1405,Workflow Automation Assistant 17,Consumer Apps,Predictive Analytics,Small Business Owner,54.94,60.70%,Customer Pilot,High Priority,Fund a paid or co-designed pilot with 1-2 committed customers.,"Engagement score of 0.60, demand intensity of 0.51, and feasibility score of 0.71 combine to support a 'Customer Pilot' recommendation with 61% model confidence.",• Customer feedback score is well above average. • Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • Concept is well aligned with strategic priorities.,• No major weakness signals were observed in this evidence set.,Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 7.9/10, Pilot Interest 8/10, Implementation Risk 3/10, Objections 1",Medium-High — real customer pull with some validation still needed.,Formalize a pilot agreement with clear success metrics before broader build.
